"date","count","project"
"2018-01-03","42","Davekat AU"
"2018-01-05","250","Davekat AU"
"2018-01-08","125","Davekat AU"
"2018-01-09","1000","Davekat AU"
"2018-01-17","303","Davekat AU"
"2018-01-21","100","Davekat AU"
"2018-01-21","750","Davekat AU"
"2017-01-09","1039","Family Demons #2"
"2017-01-15","1306","Enchanter AU"
"2017-02-02","662","Xion HESST thing"
"2017-02-15","628","Kairi AU"
"2017-02-21","901","Family Demons #2"
"2017-02-21","774","Family Demons #2"
"2017-02-24","1186","Kairi AU"
"2017-03-01","1808","Troll Human thing"
"2017-03-02","487","Troll Human thing"
"2017-03-10","500","Troll Human thing"
"2017-03-11","657","Enchanter AU"
"2017-03-16","1008","Kairi AU"
"2017-03-18","184","Troll Human thing"
"2017-03-19","2278","Troll Human thing"
"2017-03-22","520","Troll Human thing"
"2017-03-23","689","Troll Human thing"
"2017-03-24","1125","Troll Human thing"
"2017-03-25","369","Troll Human thing"
"2017-03-28","211","(repeat repeat repeat)"
"2017-03-28","2039","Tyzula Snippet"
"2017-03-29","456","(repeat repeat repeat)"
"2017-03-30","1475","(repeat repeat repeat)"
"2017-04-04","169","Sol"
"2017-05-02","1875","Kairi AU"
"2017-05-03","644","Kairi AU"
"2017-05-08","150","Kairi AU"
"2017-05-17","529","Kairi AU"
"2017-05-18","529","Horrible AU"
"2017-06-03","1251","Kairi AU"
"2017-06-04","510","Kairi AU"
"2017-06-10","1506","Kairi AU"
"2017-06-11","544","Kairi AU"
"2017-06-12","852","Kairi AU"
"2017-06-16","1590","HogwartsStuck"
"2017-06-17","210","HogwartsStuck"
"2017-06-19","2051","HogwartsStuck"
"2017-06-20","775","HogwartsStuck"
"2017-06-21","307","HogwartsStuck"
"2017-06-22","630","HogwartsStuck"
"2017-07-03","20","Soft Ace Romance"
"2017-07-03","1674","Kairi AU"
"2017-07-04","1022","Kairi AU"
"2017-07-08","825","HogwartsStuck"
"2017-07-09","801","HogwartsStuck"
"2017-07-10","1000","HogwartsStuck"
"2017-07-11","90","HogwartsStuck"
"2017-07-12","759","HogwartsStuck"
"2017-07-17","1434","Kairi AU"
"2017-07-18","56","HogwartsStuck"
"2017-07-19","1144","DaveKat Royalty AU"
"2017-07-20","873","DaveKat Royalty AU"
"2017-07-21","76","DaveKat Royalty AU"
"2017-07-22","1555","DaveKat Royalty AU"
"2017-07-26","707","DaveKat Royalty AU"
"2017-07-27","150","DaveKat Royalty AU"
"2017-07-28","107","DaveKat Royalty AU"
"2017-08-01","5","DaveKat Royalty AU"
"2017-08-07","1193","DaveKat Royalty AU"
"2017-08-09","298","DaveKat Royalty AU"
"2017-08-10","360","DaveKat Royalty AU"
"2017-08-11","299","DaveKat Royalty AU"
"2017-08-12","50","Kairi AU"
"2017-08-12","228","DaveKat Royalty AU"
"2017-08-13","380","DaveKat Royalty AU"
"2017-08-16","400","DaveKat Royalty AU"
"2017-08-17","400","DaveKat Royalty AU"
"2017-08-19","657","DaveKat Royalty AU"
"2017-08-26","9","DaveKat Royalty AU"
"2017-09-01","1","DaveKat Royalty AU"
"2017-09-02","1525","DaveKat Royalty AU"
"2017-10-04","414","Kairi AU"
"2017-10-05","1332","Kairi AU"
"2017-10-06","1146","Kairi AU"
"2017-10-07","78","Kairi AU"
"2017-10-08","1186","Meta"
"2017-10-09","354","Kairi AU"
"2017-10-29","21","Davekat Royalty AU"
"2017-11-11","1440","Kairi AU"
"2017-11-11","1440","FTH"
"2017-11-18","1673","FTH"
"2017-11-25","3","FTH"
"2017-11-26","875","Xion HESST thing"
"2017-11-30","33","Kairi AU"
"2017-12-01","696","Kairi AU"
"2017-12-03","43","DaveKat Royalty AU"
"2017-12-03","1190","Kairi AU"
"2017-12-27","36","Kairi AU"
